Store,Address,Phone,lat,lon,In District
Eve’s Unisex,"371 5th Ave., Brooklyn, NY",(718) 788-1795,40.6711253,-73.9844791,Yes
Cowlick,"348 6th St., Brooklyn, NY",(917) 909-0402,40.6707438,-73.9845131,Yes
Glamour Salon by Lana,"383 5th Ave., Brooklyn, NY",(347) 294-0694,40.6708061,-73.9847592,Yes
Brooklyn Master Barber Shop,"393 5th Ave., Brooklyn, NY",(718) 840-2616,40.6705864,-73.9849209,Yes
Creative Hair Spa,"326 9th St., Brooklyn, NY",(718) 788-8796,40.6688037,-73.9859753,Yes
George’s Barber Shop,"475 5th Ave., Brooklyn, NY",(718) 499-2021,40.6678979,-73.9869125,Yes
Judy Unisex,"521 5th Ave., Brooklyn, NY",(718) 832-0639,40.666457,-73.9883682,Yes
Sunshine Chinese Bodywork,"4 Park Place., Brooklyn, NY",(718) 499-0326,40.6794598,-73.977972,Yes
Element Beauty Lounge,"73 5th Ave., Brooklyn, NY",(718) 398-2969,40.6804748,-73.9775405,Yes
Q-Spa Nail Salon,"91 5th Ave., Brooklyn, NY",(718) 398-3088,40.6798809,-73.9779492,Yes
Mom’s Beauty Nails,"113 5th Ave., Brooklyn, NY",(718) 398-8440,40.6791867,-73.9784094,Yes
Polish Nail Spa,"117 5th Ave., Brooklyn, NY",(718) 399-0313,40.6790968,-73.9784701,Yes
Renew and Relax Spa,"142 5th Ave., Brooklyn, NY",,40.6785416,-73.9791878,Yes
D’mai Urban Spa,"157 5th Ave., Brooklyn, NY",(718) 398-2100,40.677841,-73.9793219,Yes
K Skincare,"169 5th Ave., Brooklyn, NY",(718) 622-0635,40.6773894,-73.9796398,Yes
Blitz Facial Bar,"184 5th Ave., Brooklyn, NY",(718) 623-2000,40.6773091,-73.9800186,Yes
One of Kind,"219 5th Ave., Brooklyn, NY",(718) 668-5295,40.6759753,-73.9805933,Yes
Aesop Park Slope,"225 5th Ave., Brooklyn, NY",(203) 742-9156,40.6756466,-73.9808239,Yes
Ocean Spa,"234B 5th Ave., Brooklyn, NY",(929) 337-8528,40.6756343,-73.9811611,Yes
Shang Hai Spa,"241 5th Ave., Brooklyn, NY",(718) 788-8387,40.6749978,-73.98126,Yes
Reedchy Nail & Spa,"274 5th Ave., Brooklyn, NY",(718) 877-9009,40.6744257,-73.9821329,Yes
CiCi Nail Inc.,"285 9th St., Brooklyn, NY",(917) 907-0205,40.6697283,-73.986928,Yes
H & C Chinese Bodywork,"286 9th St., Brooklyn, NY",(718) 499-0326,40.669670137931035,-73.98753596551724,Yes
Pink Nail Spa,"313 5th Ave., Brooklyn, NY",,40.6729115,-73.982934,Yes
Body Work Foot Reflexology,"325 7th St., Brooklyn, NY",(718) 788 2898,40.67063925,-73.98555410141509,Yes
5th and 5th Wellness,"339 5th St., Brooklyn, NY",(917) 379-3377,40.6715172,-73.9839065,Yes
Il Giglio Nails and Spa,"351 5th Ave., Brooklyn, NY",(718) 708-3088,40.6717189,-73.9839829,Yes
Red Moon Wellness,"405 5th Ave. #2, Brooklyn, NY",(347) 699-8751,40.6701542,-73.9852967,Yes
Bloomie Nail Salon,"435 5th Ave., Brooklyn, NY",(718) 788-2378,40.6693767,-73.9859427,Yes
Nail on 5th,"436 5th Ave., Brooklyn, NY",(929) 295-0143,40.6695448,-73.9862638,Yes
Blossom Brows,"319 9th St., Brooklyn, NY",(718)499-1122,40.6691024,-73.9857243,Yes
Blossom Brows,"467 5th Ave., Brooklyn, NY",(718) 499-2233,40.6682284,-73.9868848,Yes
Five Color Nail,"485 5th Ave., Brooklyn, NY",(718) 369-6922,40.66765188888889,-73.98744266666667,Yes
Park Slope Laser Aesthetic Center,"480 5th Ave., Brooklyn, NY",(646) 868-3634,40.6679519,-73.9875165,Yes
Vivi Nail Salon 2,"463 5th Ave., Brooklyn, NY",(718) 832-2885,40.6683736,-73.9867689,Yes
Vivi Nail Salon,"487 5th Ave., Brooklyn, NY",(718) 832-2886,40.6675921,-73.9874179,Yes
Shirly Nails,"512 5th Ave., Brooklyn, NY",(718) 965-3063,40.667005,-73.9883158,Yes
AAR Beauty & Health Center,"514 5th Ave., Brooklyn, NY",(718) 788-8866,40.6669695,-73.9883503,Yes
Nice Nails Salon,"537 5th Ave., Brooklyn, NY",,40.6659517,-73.9887894,Yes
Rawaj Eyebrow Threading,"559 5th Ave, Brooklyn, NY",(347) 599-1266,40.6653722,-73.9892814,Yes
Fifth Ave Fitness,"42 5th Ave., Brooklyn, NY",(718) 789-8901,40.6818269,-73.9769569,Yes
Area Sweat & Planted Park Slope,"45 5th Ave., Brooklyn, NY",(718) 230-7495,40.6815381,-73.976834,Yes
Body Tonic Pilates Gymnasium,"150 5th Ave., Brooklyn, NY",(718) 622-2755,40.6782252,-73.9793972,Yes
Pure Barre,"178 5th Ave., Brooklyn, NY",(718) 623-3600,40.67750325,-73.98010514697253,Yes
Harbor Health & Fitness,"191 15th St., Brooklyn, NY",(718) 965-6200,40.66601,-73.9899634,Yes
Way of Action Tae Kwon Do,"316 7th Ave. #2, Brooklyn, NY",(718) 788-1968,40.6674245,-73.9813373,Yes
Capoeira Brooklyn,"316 7th St. #2, Brooklyn, NY",(646) 492-4221,40.670402,-73.9856676,Yes
NY Sports Club,"324 9th St., Brooklyn, NY",(718) 768-0880,40.6688355,-73.9860402,Yes
Prospect Park YMCA,"357 9th St., Brooklyn, NY",(718) 768-7100,40.66866075,-73.98446914891225,Yes
JukeBox NYC,"491 5th Ave., Brooklyn, NY",(718) 768-8755,40.6674908,-73.9875027,Yes
Row House,"499 5th Ave., Brooklyn, NY",,40.667095950000004,-73.98767876729588,Yes
United Tae Kwon Do,"502 5th Ave., Brooklyn, NY",(718) 788-5700,40.6672546,-73.9881054,Yes
Park Slope Academy of Brazilian Jiu-Jitsu,"518 5th Ave., Brooklyn, NY",(718) 788-6990,40.6667427,-73.9885342,Yes
Ameri-kick Karate Studio,"529 5th Ave., Brooklyn, NY",(718) 768-8200,40.66631711111111,-73.98855888888889,Yes
Crunch,"555 5th Ave. #2, Brooklyn, NY",(718) 707-9400,40.6655948,-73.9890498,Yes
Japan Karate Association of Brooklyn,"565 5th Ave., Brooklyn, NY",(718) 768-9345,40.6652212,-73.989328,Yes
Align Brooklyn,"579 5th Ave., Brooklyn, NY",(347) 875-0714,40.6647385,-73.9898041,Yes
Prominis Medical Office,"37 5th Ave., Brooklyn, NY",(718) 802-1110,40.68175405,-73.976584,Yes
Bee Healthy,"94 5th Ave., Brooklyn, NY",(718) 399-9600,40.680142149999995,-73.97823021796408,Yes
Gentle Dental Associates,"217 5th Ave., Brooklyn, NY",(718) 789-2400,40.6760121,-73.9805611,Yes
Nurses in the Park Inc.,"667 President St, Brooklyn, NY",(718) 832-0443,40.67572876923077,-73.98052407692307,Yes
Park Slope Family Dentistry,"245 5th Ave., Brooklyn, NY",(718) 789-5700,40.6749068,-73.9813332,Yes
Stand Up MRI,"308 5th Ave., Brooklyn, NY",(718) 768-7700,40.6733325,-73.9830281,Yes
Nova Parkslope Medspa,"326 7th St, Brooklyn, NY",(718) 965-6594,40.6702376,-73.9852255,Yes
Park Slope Physician Associates,"326 7th St, Brooklyn, NY",(718) 965-1234,40.6702376,-73.9852255,Yes
Premier Dentistry,"328 9th St., Brooklyn, NY",(347) 889-6040,40.6687579,-73.9858755,Yes
Full-Spectrum Touch Massage & Body Therapy,"343 5th Ave, Brooklyn, NY",(718) 789-2315,40.671883699999995,-73.983756419,Yes
Bitesize Pediatric Dentistry,"377 5th Ave., Brooklyn, NY",(917) 397-1341,40.671088399999995,-73.9845792,Yes
NY Interventional Spine & Pain Medicine,"405 5th Ave., Brooklyn, NY",(718) 965-1234,40.6701542,-73.9852967,Yes
CityMd,"418-420 5th Ave., Brooklyn, NY",(718) 965-2273,40.670062333333334,-73.98569066666667,Yes
Dental 365,"422 5th Ave., Brooklyn, NY",(718) 832-1900,40.670009,-73.9858071,Yes
Tribeca Pediatrics,"425 5th Ave., Brooklyn, NY",(718) 568-9220,40.6695797,-73.9857745,Yes
Dental Center of Park Slope,"328 9th St., Brooklyn, NY",(718) 788-3168,40.6687579,-73.9858755,Yes
New York Hand Surgery,"330 9th St., Brooklyn, NY",(718) 369-4263,40.6687387,-73.9858282,Yes
A-Z Dental,"332 9th Street, Brooklyn, NY",(718) 832-1222,40.6687175,-73.9857726,Yes
Medical Foot Surgical Care,"338 9th St, Brooklyn, NY",(718) 788-2290,40.66855215,-73.98550909587352,Yes
Noble Dental Care PC,"340a 9th St., Brooklyn, NY",(718) 965-1144,40.6685197,-73.9853757,Yes
Dental Spa of New York,"398 5th Ave., Brooklyn, NY",(718) 717-1163,40.6706595,-73.9852767,Yes
Lab Corp,"456 5th Ave., Brooklyn, NY",(718) 369-4507,40.6689106,-73.9868585,Yes
South Slope Pediatrics,"501 5th Ave., Brooklyn, NY",(718) 576-2450,40.6670437,-73.9877435515289,Yes
Rehab One Physical Therapy,"503 5th Ave., Brooklyn, NY",(718) 254-0101,40.6670097,-73.9878679,Yes
Diamond Braces,"530 5th Ave., Brooklyn, NY",,40.66645635,-73.98895055,Yes
The Back Whisperer,"579 5th Ave., Brooklyn, NY",(718) 788-3940,40.6647385,-73.9898041,Yes
Brook Medical & Dentist,"580 5th Ave., Brooklyn, NY",(718) 768-8400,40.6647038,-73.9902386,Yes
Aqua Physical Therapy,"581 5th Ave, Brooklyn, NY",(718) 965-0555,40.6646802,-73.989857,Yes
Park Slope Dental Associates,"592 5th Ave., Brooklyn, NY",(718) 788-3290,40.6644163,-73.9904772,Yes
Pasha Dental,"633 5th Ave., Brooklyn, NY",(718) 499-6761,40.6630883,-73.9913245,Yes
Novel Home Health Care Services NY,"247 Prospect Ave #3., Brooklyn, NY",(347) 763-1012,40.6641072,-73.9901275,Yes
Park Chemists,"164 5th Ave., Brooklyn, NY",(718) 393-5555,40.6778212,-73.9796711,Yes
Slope Drugs & Surgical Supply,"406 5th Ave., Brooklyn, NY",(718) 788-8899,40.67035785,-73.9855753250142,Yes
CVS,"341 9th St., Brooklyn, NY",(718) 499-3332,40.6688445,-73.9847539,Yes
Neergaard Pharmacy,"454 5th Ave., Brooklyn, NY",(718) 768-0600,40.668922,-73.9867253,Yes
Walgreens,"468 5th Ave., Brooklyn, NY",(718) 499-7500,40.668369874999996,-73.987100625,Yes
M B Drugs Pharmacy,"222 15th St., Brooklyn, NY",(718) 788-0768,40.6653358,-73.9890657,Yes
Prospect Care Pharmacy,"596 5th Ave., Brooklyn, NY",(347) 725-4600,40.6643271,-73.9905654,Yes
Rob’s Stop ‘n Wash,"54 5th Ave., Brooklyn, NY",(718) 789-7024,40.681399,-73.9772544,Yes
Superior Suds,"99 5th Ave., Brooklyn, NY",,40.6795363,-73.9781842,Yes
Economy Cleaners,"123 5th Ave., Brooklyn, NY",(718) 398-9001,40.6788003,-73.9786728,Yes
Happy Cleaners,"182 5th Ave., Brooklyn, NY",(718) 789-8900,40.6773401,-73.9799903,Yes
Laundromat,"204 5th Ave., Brooklyn, NY",(347) 227-8767,40.67666585,-73.98057501807726,Yes
Yes Cleaners,"231 5th Ave., Brooklyn, NY",,40.6754629,-73.9809468,Yes
Wishy Washy Laundromat,"309 5th Ave., Brooklyn, NY",(718) 832-8576,40.673013,-73.9829038,Yes
Yung Laundromat,"394 5th Ave., Brooklyn, NY",,40.670764,-73.9852026,Yes
Dun - Rite Cleaners,"401 5th Ave., Brooklyn, NY",(718) 499-0644,40.6704111,-73.9850793,Yes
S & S Cleaners,"369 9th St., Brooklyn, NY",(718) 768-6121,40.6683254,-73.9841631,Yes
Clean n Green Laundromat,"504 5th Ave., Brooklyn, NY",(347) 599-1627,40.6672102,-73.9881495,Yes
Ez Clean Laundromat,"565 5th Ave., Brooklyn, NY",(718) 768-5371,40.6652212,-73.989328,Yes
Fifth Avenue French Dry Cleaners,"622 5th Ave., Brooklyn, NY",(718) 965-4021,40.6634137,-73.9914945,Yes
Lickers n Sniffers,"41 5th Ave., Brooklyn, NY",(347) 721-3807,40.681655,-73.9767453,Yes
NYC Pet,"218 5th Ave., Brooklyn, NY",(718) 230-8224,40.6760326,-73.9808999,Yes
Pet Boutique & Supply,"320 5th Ave., Brooklyn, NY",(718) 832-7600,40.6730666,-73.9832532,Yes
Paws in Paradise,"410 5th Ave., Brooklyn, NY",(718) 768-1888,40.670223,-73.9856335,Yes
Park Slope Veterinary Care,"417 5th Ave., Brooklyn, NY",(718) 788-0500,40.6698924,-73.9854993,Yes
Pet Boutique & Supply,"588 5th Ave., Brooklyn, NY",(718) 499-5400,40.6645078,-73.9904002,Yes
Graphicolor,"121 5th Ave., Brooklyn, NY",(718) 398-8745,40.6788513,-73.978641,Yes
Gowanus Printlab,"302 5th Ave., Brooklyn, NY",(718) 788-3930,40.6736626,-73.9828814450114,Yes
Mail Boxes on 5th,"172 5th Ave., Brooklyn, NY",,40.6775265,-73.9798682,Yes
Ardito & Ardito Law Offices,"211 5th Ave., Brooklyn, NY",(718) 399-1100,40.6761124,-73.9803813,Yes
Leonard Colchamiro Architect,"227 5th Ave., Brooklyn, NY",(718) 638-5442,40.6755434,-73.9808644,Yes
Philip A. Robinson Electrician,"235 5th Ave., Brooklyn, NY",(718) 783-6542,40.6752946,-73.9810518,Yes
Ben Herzog Architect PC,"247 Prospect Ave., Brooklyn, NY",(347) 410-5860,40.6641072,-73.9901275,Yes
Active Transport Services Inc.,"285 5th Ave., Brooklyn, NY",(718) 965-1300,40.6736939,-73.9823351,Yes
Carbone Tax & Accounting,"340 9th St., Brooklyn, NY",(718) 768-1563,40.668520099999995,-73.98545459628482,Yes
Law Offices of Michael Schaum,"288 8th St., Brooklyn, NY",(718) 499-4942,40.66954,-73.9855202,Yes
Allstate Insurance,"336 9th St., Brooklyn, NY",(718) 686 1200,40.6686091,-73.9855588,Yes
H & R Block,"326 9th St., Brooklyn, NY",(718) 768-4933,40.6688037,-73.9859753,Yes
Scott H Gallant and Associates Inc.,"506 5th Ave., Brooklyn, NY",(718) 789-2332,40.6671684,-73.9881815,Yes
Revolution Driving School,"261 13th St., Brooklyn, NY",,40.6670124,-73.9885708,Yes
H & R Block,"566 5th Ave., Brooklyn, NY",(718) 965-0186,40.66522325,-73.98994495,Yes
Max. J. Pollack & Sons Insurance,"682 Union St, Brooklyn, NY",(718) 624-1461,40.6764717,-73.981007,Yes
Douglas Elliman,"43 55h Ave., Brooklyn, NY",(347) 844-9162,40.7577971,-73.9005748,Yes
B.A. Consultants,"74 5th Ave., Brooklyn, NY",(718) 789-8193,40.6807515,-73.9776897,Yes
Douglas Elliman,"190 5th Ave., Brooklyn, NY",(212) 668-0001,40.6770114,-73.9802235,Yes
Brown Harris Stevens,"244 5th Ave., Brooklyn, NY",,40.6754437,-73.98138399085605,Yes
Royal Slope Realty,"288 8th St., Brooklyn, NY",(718) 768-7489,40.66954,-73.9855202,Yes
Kaito Management,"291 5th Ave., Brooklyn, NY",(718) 788-6500,40.6735663,-73.9824372,Yes
Brenton Realty,"329 5th Ave., Brooklyn, NY",(718) 768-4566,40.6723916,-73.9834243,Yes
Zealestate,"347 5th Ave., Brooklyn, NY",(646) 450-7047,40.6718424,-73.9838801,Yes
Gheith Donia,"325 9th St., Brooklyn, NY",(718) 768-8064,40.6690196,-73.9855551,Yes
New York Kids Club,"125 5th Ave, Brooklyn, NY",(347) 706-4700,40.6787276,-73.9787312,Yes
Eladia’s Kids,"147 5th Ave., Brooklyn, NY",(718) 622-3316,40.6780568,-73.9791772,Yes
Sunflower Academy,"238-240 5th Ave., Brooklyn, NY",(718) 783-0738,40.675523444444444,-73.98118655555555,Yes
Juguemos A Cantar,"323 5th Ave., Brooklyn, NY",(917) 453-1187,40.6725317,-73.9833019,Yes
MS 51: William Alexander Middle School,"350 5th Ave., Brooklyn, NY",(718) 499-4948,40.67218135,-73.98445164830235,Yes
Giocare Play School,"552 5th Ave., Brooklyn, NY",(347) 827-1372,40.6655533,-73.9895494,Yes
Brooklyn Apple Academy,"545 5th Ave., Brooklyn, NY",(917) 533-5977,40.6657557,-73.9888755,Yes
Park Slope Schoolhouse,"556 5th Ave., Brooklyn, NY",(718) 768-4873,40.6654093,-73.9896644,Yes
Imani House,"76A 5th Ave., Brooklyn, NY",(718) 638-2059,40.6806548,-73.9777505,Yes
NY Kids Club,"125 5th Ave., Brooklyn, NY",(718) 857-0700,40.6787276,-73.9787312,Yes
Tutu School Park Slope,"235 5th Ave., Brooklyn, NY",(917) 933-8007,40.6752946,-73.9810518,Yes
Figtree Program,"688 Union St., Brooklyn, NY",(917) 523-4685,40.6763802,-73.980756,Yes
Mathnasium,"361 5th Ave., Brooklyn, NY",(718) 369-6284,40.6713825,-73.984267,Yes
My Gym Park Slope,"367 5th Ave., Brooklyn, NY",(718) 788-2200,40.6712289,-73.9843854,Yes
826NYC,"372 5th Ave., Brooklyn, NY",(718) 499-9884,40.6713828,-73.9846752,Yes
Kumon,"434 5th Ave #2, Brooklyn, NY",(347) 382-8084,40.6695949,-73.9861675,Yes
Brooklyn Robot Foundry,"586 5th Ave., Brooklyn, NY",(347) 762-6840,40.6645563,-73.9903601,Yes
Good Day Play Cafe,"591 5th Ave., Brooklyn, NY",(347) 294-4334,40.6644403,-73.990049,Yes
Casetta Ida,"217 5th Ave., Brooklyn, NY",(347) 407-1564,40.6760121,-73.9805611,Yes
Private Picassos,"237 5th Ave., Brooklyn, NY",(718) 215-0589,40.6752308,-73.9811025,Yes
Puppetry Arts,"339 2nd St., Brooklyn, NY",(718) 768-3703,40.6737588,-73.98318514939966,Yes
The Brooklyn Music Studio,"318 5th Ave., Brooklyn, NY",(347) 560-4014,40.673112,-73.9832132,Yes
Piper Theatre,"336 5th Ave., Brooklyn, NY",(718) 768-3195,40.67227588888889,-73.98358966666667,Yes
Pinot's Palette,"382 5th Ave., Brooklyn, NY",(929) 337-8528,40.6712029,-73.9848237,Yes
Writopia BK,"391 5th Ave., Brooklyn, NY",(718) 285-9638,40.6706191,-73.9848406,Yes
Brooklyn Arts Exchange,"421 5th Ave., Brooklyn, NY",(718) 832-0018,40.6698196,-73.9855042,Yes
Park Slope Music School,"436 5th Ave., Brooklyn, NY",(718) 369-3260,40.6695448,-73.9862638,Yes
Slope Music,"271 9th St., Brooklyn, NY",(718) 768-3804,40.6699902,-73.98738822500755,Yes
New York Guitar Academy,"506 5th Ave., Brooklyn, NY",(646) 703-0007,40.6671684,-73.9881815,Yes
The Grand Prospect Hall,"263 Prospect Ave., Brooklyn, NY",(718) 788-0777,40.66391675,-73.98935153353119,Yes
Events at Stone Park,"357 3rd St., Brooklyn, NY",(718) 369-0082,40.6731694,-73.9835060195083,Yes
Slope Space,"390 5th Ave., Brooklyn, NY",(201) 575-9400,40.6708589,-73.9851034,Yes
Bingo Park Slope,"416 5th Ave., Brooklyn, NY",(718) 788-1691,40.6701392,-73.9857019,Yes
Chase,"159 5th Ave., Brooklyn, NY",(718) 857-0391,40.6777477,-73.9793844,Yes
Dime Community Bank,"208 5th Ave., Brooklyn, NY",(718) 729 6070,40.6763378,-73.9806684,Yes
TD Bank,"269 5th Ave., Brooklyn, NY",(718) 499-2913,40.67423511111111,-73.98195322222222,Yes
Citibank,"424 5th Ave., Brooklyn, NY",(718) 756-4639,40.6699419,-73.9858628,Yes
Chase,"444 5th Ave., Brooklyn, NY",(718) 768-6581,40.66951345,-73.98648583999186,Yes
HSBC,"325 9th St., Brooklyn, NY",(800) 975-4722,40.6690196,-73.9855551,Yes
Sterling Bank,"459 5th Ave., Brooklyn, NY",(718) 965-7500,40.6686092,-73.9865454,Yes
Kearny Bank,"478 5th Ave., Brooklyn, NY",,40.6681402,-73.9873705,Yes
Capital One Bank,"516 5th Ave., Brooklyn, NY",(718) 369-8798,40.6669625,-73.98844246040042,Yes
Chase,"533 5th Ave., Brooklyn, NY",(718) 965-7499,40.6662026,-73.9885839,Yes
Bank of America,"534 5th Ave., Brooklyn, NY",(718) 788-1367,40.6661113,-73.9890676,Yes
La Nacional Money Orders,"561 5th Ave., Brooklyn, NY",(718) 832-5656,40.6652849,-73.98925145233633,Yes
Pay O Matic Western Union Money Center,"582 5th Ave., Brooklyn, NY",(718) 965-9708,40.6646874,-73.99036017656212,Yes
Park Slope Kitchen Gallery,"233 Prospect Ave., Brooklyn, NY",(718) 832-0002,40.66446,-73.990803,Yes
Steve Belsito’s Sons inc.,"395 5th Ave., Brooklyn, NY",(718) 768-5246,40.6705471,-73.9849512,Yes
Park Slope Plumbing Supply Kitchen  & Bath Showroom,"601 5th Ave., Brooklyn, NY",(718) 832-0400,40.6642145,-73.9902182,Yes
R & A Cycles,"105 5th Ave., Brooklyn, NY",(718) 636-5242,40.6793908,-73.978277,Yes
M & C E Bikes,"119 5th Ave., Brooklyn, NY",,40.6788936,-73.978612,Yes
Bicycle Habitat,"476 5th Ave., Brooklyn, NY",(718) 788-2543,40.6682656,-73.98743462335804,Yes
Park Slope Christian Academy,"98 5th Ave., Brooklyn, NY",(718) 636-9363,40.6799705,-73.9782546,Yes
Iglesia Pentecostal Jesus Christos,"175 5th Ave., Brooklyn, NY",(718) 965-2923,40.67725935,-73.97962964999999,Yes
Johnny’s Universal Botanica & Mystical Shop,"376 5th Ave., Brooklyn, NY",(718) 832-3606,40.6712721,-73.9847619,Yes
Red Hook on the Road,"151 5th Ave., Brooklyn, NY",(718) 237-4846,40.6779886,-73.9792229,Yes
Greenspace@President Street,"222 5th Ave., Brooklyn, NY",,40.6760498,-73.980826,Yes
Old Stone House & Washington Park,"326-344 5th Ave., Brooklyn, NY",(718) 768-3195,40.67249477777778,-73.98340633333333,Yes
American Legion,"389 5th Ave., Brooklyn, NY",(347) 484-7351,40.6706527,-73.98479220492187,Yes
Center For Anti-Violence Education,"402 5th Ave., Brooklyn, NY",(718) 788-1775,40.6705419,-73.9853657,Yes
Interference Archive,"314 7th St., Brooklyn, NY",,40.6704879,-73.9857817,Yes
Van Brunt Post Office,"275 9th St., Brooklyn, NY",(718) 768-1284,40.66973768965517,-73.98727182758621,Yes
District Office of Council Member Brad Lander,"456 5th Ave., Brooklyn, NY",(718) 499-1090,40.6689106,-73.9868585,Yes
Arecibo Car and Limo Service,"171 5th Ave., Brooklyn, NY",(718) 783-6465,40.6773449,-73.9796702,Yes
Eastern Car Service,"224 15th St., Brooklyn, NY",(718) 499-6227,40.665239,-73.98901507766467,Yes
